Item,Size,Price,Supplier
Abies balsamea,8 Foot,400.0,BH
Abies concolor,6 Foot,275.0,BH
Abies fraseri,4 Foot,140.0,BH
Abies fraseri,5 Foot,160.0,BH
Abies fraseri,6 Foot,200.0,BH
Abies fraseri,7 Foot,250.0,BH
Abies fraseri,8 Foot,300.0,BH
Acer griseum,1.5 Inch,190.0,BH
Acer miyabei State Street â„¢ 'Morton',1.5 Inch,165.0,BH
Acer miyabei State Street â„¢ 'Morton',2 Inch,200.0,BH
Acer miyabei State Street â„¢ 'Morton',2.5 Inch,245.0,BH
Acer miyabei State Street â„¢ 'Morton',25 Gallon,165.0,BH
Acer miyabei State Street â„¢ 'Morton',3 Inch,290.0,BH
Acer miyabei State Street â„¢ 'Morton',3.5 Inch,325.0,BH
Acer miyabei State Street â„¢ 'Morton',4 Inch,350.0,BH
Acer miyabei State Street â„¢ 'Morton',4.5 Inch,375.0,BH
Acer miyabei State Street â„¢ 'Morton',5 Inch,400.0,BH
Acer miyabei State Street â„¢ 'Morton',5.5 Inch,400.0,BH
Acer miyabei State Street â„¢ 'Morton',6 Inch,400.0,BH
Acer palmatum 'Crimson Sunset',15 Gallon,250.0,BH
Acer palmatum var. dissectum 'Crimson Queen',10 Gallon,200.0,BH
Acer palmatum var. dissectum 'tamukeyama',36 Inch,230.0,BH
Acer platanoides 'Columnar',3 Inch,240.0,BH
Acer platanoides 'Columnar',3.5 Inch,350.0,BH
Acer platanoides 'Columnar',4 Inch,375.0,BH
Acer platanoides 'Columnar',4.5 Inch,400.0,BH
Acer platanoides 'Columnar',5 Inch,425.0,BH
Acer platanoides 'Crimson King',1.5 Inch,160.0,BH
Acer platanoides 'Crimson King',2 Inch,215.0,BH
Acer platanoides 'Deborah',2.5 Inch,230.0,BH
Acer platanoides 'Deborah',3 Inch,260.0,BH
Acer platanoides 'Deborah',3.5 Inch,280.0,BH
Acer platanoides 'Deborah',4 Inch,300.0,BH
Acer platanoides 'Deborah',4.5 Inch,325.0,BH
Acer platanoides 'Emerald Lustre',2.5 Inch,230.0,BH
Acer platanoides 'Emerald Lustre',3 Inch,260.0,BH
Acer platanoides 'Emerald Lustre',3.5 Inch,280.0,BH
Acer platanoides 'Emerald Lustre',4 Inch,300.0,BH
Acer platanoides 'Emerald Lustre',4.5 Inch,325.0,BH
Acer platanoides 'Emerald Lustre',5 Inch,350.0,BH
Acer platanoides 'Emerald Lustre',6 Inch,400.0,BH
Acer platanoides 'Royal Red',1.5 Inch,175.0,BH
Acer platanoides 'Royal Red',1.75 Inch,185.0,BH
Acer platanoides 'Royal Red',2 Inch,200.0,BH
Acer platanoides 'Royal Red',25 Gallon,165.0,BH
Acer rubrum 'Armstrong',2.5 Inch,250.0,BH
Acer rubrum 'Armstrong Gold',1.5 Inch,195.0,BH
Acer rubrum 'Armstrong Gold',2 Inch,215.0,BH
Acer rubrum 'Armstrong Gold',2.5 Inch,250.0,BH
Acer rubrum 'Armstrong Gold',3 Inch,285.0,BH
Acer rubrum 'Armstrong Gold',3.5 Inch,310.0,BH
Acer rubrum 'Armstrong Gold',5 Inch,375.0,BH
Acer rubrum 'Armstrong Gold',5.5 Inch,400.0,BH
Acer rubrum 'Autumn Radiance',1.5 Inch,170.0,BH
Acer rubrum 'Autumn Radiance',2 Inch,195.0,BH
Acer rubrum 'Autumn Radiance',2.5 Inch,245.0,BH
Acer rubrum 'Autumn Radiance',3 Inch,280.0,BH
Acer rubrum 'Autumn Radiance',3.5 Inch,300.0,BH
Acer rubrum 'Autumn Radiance',4 Inch,325.0,BH
Acer rubrum 'Autumn Radiance',4.5 Inch,350.0,BH
Acer rubrum 'Autumn Radiance',5 Inch,375.0,BH
Acer rubrum 'Autumn Spire',2 Inch,195.0,BH
Acer rubrum 'Autumn Spire',2.5 Inch,245.0,BH
Acer rubrum 'Autumn Spire',3 Inch,280.0,BH
Acer rubrum 'Autumn Spire',3.5 Inch,300.0,BH
Acer rubrum 'Autumn Spire',4 Inch,325.0,BH
Acer rubrum 'Brandywine',1.5 Inch,170.0,BH
Acer rubrum 'Brandywine',2 Inch,190.0,BH
Acer rubrum 'Brandywine',2.5 Inch,245.0,BH
Acer rubrum 'Brandywine',3 Inch,280.0,BH
Acer rubrum 'Brandywine',3.5 Inch,300.0,BH
Acer rubrum 'Brandywine',4 Inch,325.0,BH
Acer rubrum 'Brandywine',4.5 Inch,350.0,BH
Acer rubrum 'Brandywine',5 Inch,375.0,BH
Acer rubrum 'Franksred',1.5 Inch,170.0,BH
Acer rubrum 'Franksred',1.75 Inch,180.0,BH
Acer rubrum 'Franksred',2 Inch,190.0,BH
Acer rubrum 'Franksred',2.5 Inch,245.0,BH
Acer rubrum 'Franksred',25 Gallon,165.0,BH
Acer rubrum 'Franksred',3 Inch,290.0,BH
Acer rubrum 'Franksred',3.5 Inch,320.0,BH
Acer rubrum 'Franksred',4 Inch,350.0,BH
Acer rubrum 'Franksred',4.5 Inch,400.0,BH
Acer rubrum 'Magnificent Magenta',1.5 Inch,180.0,BH
Acer rubrum 'Magnificent Magenta',2 Inch,205.0,BH
Acer rubrum 'Magnificent Magenta',2.5 Inch,245.0,BH
Acer rubrum 'Magnificent Magenta',3 Inch,280.0,BH
Acer rubrum 'Magnificent Magenta',3.5 Inch,300.0,BH
Acer rubrum 'Magnificent Magenta',4 Inch,325.0,BH
Acer rubrum 'Magnificent Magenta',4.5 Inch,350.0,BH
Acer rubrum 'Magnificent Magenta',5 Inch,375.0,BH
Acer rubrum 'Redpointe' Â®,2 Inch,195.0,BH
Acer rubrum 'Redpointe' Â®,3 Inch,280.0,BH
Acer rubrum 'Redpointe' Â®,3.5 Inch,300.0,BH
Acer rubrum 'Redpointe' Â®,4 Inch,325.0,BH
Acer rubrum 'Redpointe' Â®,4.5 Inch,350.0,BH
Acer rubrum 'Sun Valley',1.5 Inch,170.0,BH
Acer rubrum 'Sun Valley',2 Inch,195.0,BH
Acer rubrum 'Sun Valley',2.5 Inch,245.0,BH
Acer rubrum 'Sun Valley',3 Inch,280.0,BH
Acer rubrum 'Sun Valley',3.5 Inch,300.0,BH
Acer rubrum 'Sun Valley',4 Inch,325.0,BH
Acer rubrum 'Sun Valley',4.5 Inch,350.0,BH
Acer rubrum 'Sun Valley',5 Inch,375.0,BH
Acer rubrum 'Sun Valley',5.5 Inch,400.0,BH
Acer saccharum 'Autumn Fest',15 Gallon,125.0,BH
Acer saccharum 'Autumn Fest',2 Inch,230.0,BH
Acer saccharum 'Autumn Fest',2.5 Inch,275.0,BH
Acer saccharum 'Autumn Fest',3 Inch,330.0,BH
Acer saccharum 'Autumn Fest',3.5 Inch,350.0,BH
Acer saccharum 'Autumn Fest',4 Inch,375.0,BH
Acer saccharum 'Bailsta',1.5 Inch,190.0,BH
